epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4203.99,0.59631,0.03813,0.08669,0.40419,0.92152,0.95704,0.93444,0.98106,0.89636,0.00671,0.00763,0.00093,0.00089,0.45964,0.01402,0.0091,0.32833,0.84295,0.00484272,0.00484272,0.00484272
79,4257.95,0.58982,0.03578,0.08166,0.39973,0.92012,0.95729,0.93555,0.9814,0.89612,0.0067,0.00763,0.00094,0.0009,0.46112,0.01358,0.00902,0.32876,0.84339,0.00473919,0.00473919,0.00473919
80,4312.42,0.58867,0.04034,0.08187,0.3998,0.92089,0.95809,0.93469,0.98177,0.89631,0.0069,0.00784,0.00096,0.00092,0.46094,0.01408,0.0085,0.32806,0.8436,0.00463579,0.00463579,0.00463579
81,4366.73,0.58486,0.03655,0.08053,0.3955,0.91774,0.9578,0.93475,0.9814,0.89638,0.00711,0.00805,0.00098,0.00094,0.46025,0.01462,0.00821,0.32798,0.84353,0.00453258,0.00453258,0.00453258
82,4424.42,0.58733,0.03745,0.07541,0.39731,0.91831,0.95433,0.93856,0.98141,0.89635,0.00709,0.00805,0.00102,0.00095,0.46,0.01483,0.00756,0.32731,0.84334,0.0044296,0.0044296,0.0044296
83,4476.39,0.58411,0.03954,0.08285,0.39425,0.91783,0.95748,0.93503,0.98125,0.89644,0.00704,0.00805,0.00103,0.00098,0.45966,0.0142,0.00714,0.32629,0.84265,0.00432689,0.00432689,0.00432689
84,4529.73,0.57919,0.03668,0.09191,0.39195,0.91756,0.9521,0.93904,0.9817,0.89632,0.00712,0.00805,0.00104,0.00098,0.45966,0.01344,0.00656,0.32475,0.84244,0.00422449,0.00422449,0.00422449
85,4581.82,0.57991,0.03409,0.07777,0.39161,0.9169,0.95171,0.93944,0.98157,0.8963,0.00713,0.00805,0.00104,0.00099,0.45973,0.01311,0.00632,0.32399,0.84189,0.00412246,0.00412246,0.00412246
86,4635.76,0.57971,0.03455,0.07194,0.39161,0.91584,0.95248,0.93877,0.9816,0.89628,0.00693,0.00784,0.00105,0.00101,0.46048,0.0133,0.006,0.32355,0.84224,0.00402084,0.00402084,0.00402084
87,4688.2,0.57928,0.03545,0.08146,0.39224,0.91787,0.95904,0.9322,0.98151,0.89668,0.0069,0.00784,0.00107,0.00102,0.46121,0.01336,0.0061,0.32445,0.84243,0.00391966,0.00391966,0.00391966
88,4740.82,0.57659,0.03578,0.07377,0.38972,0.91535,0.95368,0.93792,0.98148,0.89662,0.00709,0.00805,0.00108,0.00103,0.46192,0.01396,0.00633,0.32402,0.84297,0.00381899,0.00381899,0.00381899
89,4793.26,0.57347,0.03397,0.07533,0.3866,0.91498,0.95198,0.94078,0.98133,0.8969,0.00709,0.00805,0.0011,0.00106,0.46227,0.01428,0.00666,0.32314,0.84341,0.00371885,0.00371885,0.00371885
90,4845.98,0.56719,0.03258,0.07281,0.38007,0.91058,0.95706,0.93505,0.98074,0.89701,0.00713,0.00805,0.00111,0.00107,0.46132,0.01432,0.0067,0.32217,0.84325,0.00361929,0.00361929,0.00361929
91,4898.42,0.57133,0.03311,0.07041,0.38448,0.91378,0.95333,0.93921,0.98126,0.89785,0.0072,0.00805,0.00112,0.00106,0.45977,0.0142,0.00658,0.32083,0.84249,0.00352037,0.00352037,0.00352037
92,4951.8,0.56898,0.03232,0.06797,0.3799,0.91466,0.95559,0.93729,0.98141,0.8978,0.00724,0.00805,0.00112,0.00106,0.45928,0.01406,0.00661,0.32057,0.84243,0.00342211,0.00342211,0.00342211
93,5004.34,0.56272,0.03242,0.05852,0.37793,0.9109,0.9593,0.93381,0.98117,0.89843,0.00727,0.00805,0.00112,0.00106,0.45821,0.01403,0.00656,0.32012,0.84209,0.00332457,0.00332457,0.00332457
94,5057.56,0.56462,0.03133,0.0679,0.37949,0.91041,0.95829,0.93602,0.98108,0.89897,0.00726,0.00805,0.00112,0.00107,0.45745,0.01409,0.00661,0.31962,0.84189,0.00322778,0.00322778,0.00322778
95,5110.54,0.563,0.03048,0.07024,0.37654,0.91034,0.95874,0.93544,0.98122,0.89918,0.00728,0.00805,0.00113,0.00107,0.45694,0.01433,0.00662,0.31912,0.84185,0.0031318,0.0031318,0.0031318
96,5163.15,0.56367,0.03369,0.07498,0.37918,0.91205,0.95712,0.9375,0.98105,0.89882,0.00737,0.00805,0.00113,0.00108,0.45716,0.01471,0.00671,0.31873,0.84172,0.00303665,0.00303665,0.00303665
97,5217.38,0.55444,0.02968,0.07158,0.37153,0.90741,0.95643,0.9375,0.98112,0.89919,0.00738,0.00805,0.00112,0.00106,0.45662,0.01507,0.00682,0.31798,0.84147,0.00294239,0.00294239,0.00294239
98,5271.28,0.55342,0.02906,0.05611,0.372,0.90766,0.95768,0.93665,0.9812,0.89955,0.00737,0.00805,0.00113,0.00107,0.45598,0.01502,0.00688,0.31755,0.84122,0.00284906,0.00284906,0.00284906
99,5325.33,0.55275,0.02968,0.07616,0.37128,0.908,0.95776,0.93672,0.98141,0.8996,0.00737,0.00805,0.00113,0.00107,0.45552,0.01508,0.00696,0.31711,0.84129,0.00275668,0.00275668,0.00275668
100,5379.96,0.54863,0.02893,0.06238,0.36685,0.905,0.95755,0.93668,0.98128,0.89974,0.00737,0.00805,0.00113,0.00108,0.45492,0.01518,0.00704,0.31706,0.84095,0.00266532,0.00266532,0.00266532
101,5433.97,0.54762,0.02953,0.06763,0.36547,0.90551,0.95777,0.93699,0.98125,0.9001,0.00738,0.00805,0.00114,0.00109,0.4546,0.01524,0.00708,0.31632,0.84087,0.002575,0.002575,0.002575
102,5488.19,0.54983,0.027,0.06187,0.36718,0.90543,0.95758,0.93732,0.98133,0.90022,0.00731,0.00805,0.00114,0.0011,0.45435,0.01469,0.00701,0.31576,0.84072,0.00248577,0.00248577,0.00248577
103,5542.92,0.54973,0.02957,0.05711,0.36974,0.90737,0.9575,0.93729,0.98128,0.90009,0.00729,0.00805,0.00115,0.0011,0.45415,0.01485,0.00702,0.31542,0.84063,0.00239766,0.00239766,0.00239766
104,5594.19,0.54422,0.02799,0.06411,0.3646,0.90486,0.9577,0.93729,0.9815,0.90038,0.0073,0.00805,0.00115,0.00111,0.45387,0.01476,0.00685,0.31507,0.84058,0.00231071,0.00231071,0.00231071
105,5645.24,0.54649,0.02854,0.0673,0.3656,0.90488,0.9588,0.9375,0.98139,0.90059,0.0073,0.00805,0.00115,0.00111,0.45367,0.0147,0.00661,0.31521,0.84042,0.00222497,0.00222497,0.00222497
106,5695.69,0.54561,0.02537,0.05934,0.36367,0.90372,0.95887,0.9384,0.9815,0.90089,0.00729,0.00805,0.00116,0.00111,0.45367,0.01489,0.00655,0.31499,0.84042,0.00214046,0.00214046,0.00214046
107,5746.31,0.54037,0.02743,0.06447,0.35989,0.90236,0.95887,0.93848,0.98153,0.90087,0.00728,0.00805,0.00117,0.00111,0.45324,0.01486,0.00645,0.31447,0.84028,0.00205723,0.00205723,0.00205723
108,5797.57,0.54662,0.02637,0.05546,0.36572,0.90628,0.95907,0.93817,0.98193,0.90088,0.00728,0.00805,0.00117,0.00111,0.45315,0.01485,0.00639,0.31396,0.84017,0.00197532,0.00197532,0.00197532
109,5848.06,0.53304,0.02777,0.05738,0.35869,0.89972,0.95915,0.93814,0.98245,0.9011,0.00727,0.00805,0.00117,0.00111,0.45286,0.01481,0.00633,0.3136,0.84018,0.00189475,0.00189475,0.00189475
110,5900.78,0.52936,0.02515,0.05606,0.35421,0.89988,0.96009,0.93771,0.98213,0.90121,0.00727,0.00805,0.00117,0.00111,0.4525,0.01464,0.00621,0.31361,0.84012,0.00181557,0.00181557,0.00181557
111,5954.93,0.53266,0.02647,0.05565,0.35333,0.90093,0.96027,0.93708,0.98197,0.90146,0.00727,0.00805,0.00117,0.00112,0.45229,0.01466,0.00622,0.31315,0.84015,0.0017378,0.0017378,0.0017378
112,6008.99,0.53599,0.02467,0.06028,0.35567,0.90283,0.96028,0.93728,0.98197,0.90172,0.00726,0.00805,0.00117,0.00112,0.45206,0.0146,0.00627,0.31269,0.84005,0.00166149,0.00166149,0.00166149
